tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000001,short,Carmencita,Carmencita,0,1894,\N,1,Documentary,Short
tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,Animation,Short
tt0000003,short,Pauvre Pierrot,Pauvre Pierrot,0,1892,\N,5,Animation,Comedy,Romance
tt0000004,short,Un bon bock,Un bon bock,0,1892,\N,12,Animation,Short
tt0000005,short,Blacksmith Scene,Blacksmith Scene,0,1893,\N,1,Comedy,Short
tt0000006,short,Chinese Opium Den,Chinese Opium Den,0,1894,\N,1,Short
tt0000007,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,0,1894,\N,1,Short,Sport
tt0000008,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,0,1894,\N,1,Documentary,Short
tt0000009,movie,Miss Jerry,Miss Jerry,0,1894,\N,45,Romance
tt0000010,short,Leaving the Factory,La sortie de l'usine Lumière à Lyon,0,1895,\N,1,Documentary,Short
tt0000011,short,Akrobatisches Potpourri,Akrobatisches Potpourri,0,1895,\N,1,Documentary,Short
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0,1896,\N,1,Documentary,Short
tt0000013,short,The Photographical Congress Arrives in Lyon,Le débarquement du congrès de photographie à Lyon,0,1895,\N,1,Documentary,Short
tt0000014,short,The Waterer Watered,L'arroseur arrosé,0,1895,\N,1,Comedy,Short
tt0000015,short,Autour d'une cabine,Autour d'une cabine,0,1894,\N,2,Animation,Short
tt0000016,short,Boat Leaving the Port,Barque sortant du port,0,1895,\N,1,Documentary,Short
tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,\N,1,Documentary,Short
tt0000018,short,Das boxende Känguruh,Das boxende Känguruh,0,1895,\N,1,Short
tt0000019,short,The Clown Barber,The Clown Barber,0,1898,\N,\N,Comedy,Short
tt0000020,short,The Derby 1895,The Derby 1895,0,1895,\N,1,Documentary,Short,Sport
tt0000022,short,Blacksmith Scene,Les forgerons,0,1895,\N,1,Documentary,Short
tt0000023,short,The Sea,Baignade en mer,0,1895,\N,1,Documentary,Short
tt0000024,short,Opening of the Kiel Canal,Opening of the Kiel Canal,0,1895,\N,1,News,Short
